prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Lagoon Perdana,2021,450,Petaling Jaya,Apartment,3,,2,852,Fully Furnished,"Swimming Pool, Multipurpose hall, Playground, Security, Gymnasium, Lift, Parking","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Pangsapuri Pelangi Indah,,450,Klang,Flat,3,,2,646,Fully Furnished,Parking,"Cooking Allowed, Washing Machine",Selangor
,,450,Cyberjaya,Apartment,7,,2,1900,Fully Furnished,"Parking, Security, Playground, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet",Selangor
Pangsapuri Pelangi Indah,,450,Klang,Flat,3,,2,646,Fully Furnished,Parking,"Cooking Allowed, Washing Machine",Selangor
Pangsapuri Vista Perdana (Semenyih),,450,Kajang,Apartment,2,1,1,520,Partially Furnished,Security,,Selangor
Seri Tanjung Apartment (Bukit Beruntung),,450,Rawang,Apartment,3,,2,700,Fully Furnished,,,Selangor
Taman Rawang Perdana,,450,Rawang,Flat,3,1,1,650,Not Furnished,,Cooking Allowed,Selangor
Lagoon Perdana,2021,450,Petaling Jaya,Apartment,3,,2,852,Fully Furnished,"Playground, Multipurpose hall, Swimming Pool, Gymnasium, Security, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Palma Apartment (Bandar Country Homes),,450,Rawang,Apartment,3,,2,780,Not Furnished,"Playground, Parking",Cooking Allowed,Selangor
,,450,Semenyih,Flat,3,,2,650,Not Furnished,,,Selangor
Menara U2,2014,450,Shah Alam,Service Residence,2,,1,450,Fully Furnished,"Sauna, Swimming Pool, Multipurpose hall, Gymnasium, Squash Court, Security",,Selangor
Flat Taman Damai Indah,,450,Kapar,Flat,2,,1,603,Not Furnished,,Cooking Allowed,Selangor
Vista Lavender,2000,450,Puchong,Apartment,2,,1,850,Partially Furnished,"Parking, Jogging Track, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Internet",Selangor
Palma Apartment (Bandar Country Homes),,450,Rawang,Apartment,3,,2,650,Not Furnished,,,Selangor
Apartment Angkasa,,460,Shah Alam,Apartment,3,,2,800,Partially Furnished,,,Selangor
