prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Harmoni Apartment,,500,Damansara Damai,Apartment,3,,2,650,Not Furnished,"Parking, Playground, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Pangsapuri Seri Suria (Sunway Semenyih),,500,Kajang,Apartment,3,1,2,650,Not Furnished,"Parking, Playground, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Taman Mesra (Klang),,500,Klang,Flat,3,,2,1000,Not Furnished,Parking,,Selangor
Harmoni Apartment,,500,Damansara Damai,Apartment,3,1,2,650,Not Furnished,"Parking, Lift, Playground, Swimming Pool, Gymnasium, Minimart, Barbeque area, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Casa Green (Bukit Jalil),,530,Bukit Jalil,Condominium,1,,1,500,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
,,530,Seri Kembangan,Apartment,3,,1,650,Not Furnished,"Minimart, Parking",,Selangor
Harmoni Apartment,,530,Damansara Damai,Apartment,3,1,2,650,Partially Furnished,"Parking, Lift, Playground, Swimming Pool, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
"Sebelah Stesen LRT Seri Kembangan, Flat Cahaya Manis",,530,Seri Kembangan,Flat,2,,1,600,Not Furnished,,"Cooking Allowed, Near KTM/LRT",Selangor
Sri Ros Apartment,,549,Kajang,Apartment,3,,2,854,Not Furnished,"Parking, Swimming Pool, Security",,Selangor
PV9 Residences @ Taman Melati,2022,550,Setapak,Service Residence,4,,3,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,550,Setapak,Condominium,4,1,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Platinum Lake PV 20,,550,Setapak,Condominium,6,,2,1313,Fully Furnished,"Lift, Security, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,550,Setapak,Condominium,4,1,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,550,Setapak,Condominium,3,3,2,850,Fully Furnished,"Parking, Lift, Security, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
OUG Parklane,,550,OUG,Service Residence,1,,1,340,Fully Furnished,"Security, Playground, Swimming Pool, Minimart, Lift, Jogging Track","Air-Cond, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
OUG Parklane,,550,OUG,Service Residence,1,,1,300,Fully Furnished,"Sauna, Squash Court, Swimming Pool, Minimart, Playground, Parking, Security",,Kuala Lumpur
Desa Petaling Flat,,550,Desa Petaling,Flat,1,,1,600,Not Furnished,,,Kuala Lumpur
taman intan baiduri flat,,550,Kepong,Flat,3,,1,600,Not Furnished,,,Kuala Lumpur
The Holmes,,550,Cheras,Condominium,4,2,2,1000,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Mutiara Ville @ Cyberjaya,2013,550,Cyberjaya,Condominium,1,,1,300,Fully Furnished,"Parking, Minimart, Gymnasium, Playground, Swimming Pool, Security, Jogging Track, Lift, Squash Court","Cooking Allowed, Washing Machine",Selangor
Flat serdang perdana,,550,Seri Kembangan,Flat,3,,2,650,Partially Furnished,,Cooking Allowed,Selangor
Taman Sentosa Perdana,,550,Klang,Apartment,3,,2,600,Partially Furnished,,,Selangor
Orchid Court,,550,Rawang,Flat,3,,1,667,Not Furnished,"Playground, Parking, Security",,Selangor
Alam Perdana Flat,,550,Puncak Alam,Apartment,3,,2,650,Not Furnished,Parking,,Selangor
,,550,Shah Alam,Apartment,3,,2,650,Not Furnished,"Playground, Parking",,Selangor
Nuri Apartment,,550,Kajang,Apartment,3,,2,650,Partially Furnished,,"Cooking Allowed, Washing Machine",Selangor
Taman Bukit Mewah (Kajang),,550,Kajang,Flat,2,,1,520,Not Furnished,,,Selangor
Pangsapuri Baiduri (Bandar Tasik Kesuma),,550,Beranang,Apartment,3,,2,750,Not Furnished,,Cooking Allowed,Selangor
Bandar Teknologi Kajang Flat,,550,Semenyih,Flat,3,,2,650,Not Furnished,,Cooking Allowed,Selangor
Vista Alam Serviced Apartment,2014,550,Shah Alam,Service Residence,1,,1,250,Partially Furnished,"Gymnasium, Jogging Track, Security, Playground, Minimart, Swimming Pool, Barbeque area, Lift","Air-Cond, Cooking Allowed",Selangor
Sri Indah Apartment,,550,Seri Kembangan,Apartment,3,1,2,650,Not Furnished,"Parking, Playground, Minimart","Cooking Allowed, Near KTM/LRT",Selangor
Desa Serdang,,550,Seri Kembangan,Flat,2,,1,500,Not Furnished,,Cooking Allowed,Selangor
Pangsapuri Baiduri (Bandar Tasik Kesuma),,550,Beranang,Apartment,3,,2,700,Not Furnished,"Parking, Playground",,Selangor
Putra Raya Apartment,,550,Seri Kembangan,Apartment,3,,2,650,Not Furnished,Playground,Cooking Allowed,Selangor
Bandar Teknologi Kajang Flat,,550,Semenyih,Apartment,3,,2,650,Not Furnished,,Cooking Allowed,Selangor
Lestari Perdana Apartment,,550,Seri Kembangan,Apartment,3,,2,650,Not Furnished,"Minimart, Playground",Cooking Allowed,Selangor
BSP 21,2018,550,Bandar Saujana Putra,Service Residence,1,,1,300,Fully Furnished,"Swimming Pool, Playground, Barbeque area, Tennis Court, Jogging Track, Sauna, Security, Lift, Gymnasium, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Selangor
Taman Sentosa Jaya,,550,Klang,Flat,3,,2,720,Partially Furnished,,Cooking Allowed,Selangor
Lestari Perdana Apartment,,550,Seri Kembangan,Apartment,3,,2,650,Not Furnished,"Minimart, Playground",Cooking Allowed,Selangor
Apartment Harmoni,,550,Damansara Damai,Apartment,3,,2,650,Not Furnished,Playground,"Cooking Allowed, Near KTM/LRT",Selangor
Pangsapuri Orkid,,550,Shah Alam,Apartment,3,2,1,650,Not Furnished,"Parking, Playground",,Selangor
Taman Kajang Mulia Apartment,,550,Kajang,Apartment,2,,1,700,Not Furnished,,,Selangor
Vista Alam Serviced Apartment,2014,550,Shah Alam,Service Residence,1,,1,200,Not Furnished,"Parking, Security, Jogging Track, Minimart, Playground, Gymnasium",Air-Cond,Selangor
,,550,Kajang,Flat,3,,2,650,Not Furnished,Parking,,Selangor
Taman Restu,,550,Kajang,Flat,2,,1,700,Not Furnished,,,Selangor
Apartment Lestari (Damansara Damai),,550,Damansara Damai,Apartment,3,,2,650,Not Furnished,"Playground, Minimart",Cooking Allowed,Selangor
Pendekar,,550,Cheras,Flat,3,,2,650,Not Furnished,"Parking, Security, Playground",Cooking Allowed,Selangor
Pangsapuri Taman Bukit Rawang Putra,,550,Rawang,Flat,3,,1,657,Not Furnished,,,Selangor
Birchwood Court,,550,Rawang,Apartment,3,1,2,784,Not Furnished,"Parking, Playground","Cooking Allowed, Washing Machine",Selangor
Putra Raya Apartment,,550,Seri Kembangan,Apartment,3,,2,680,Partially Furnished,"Parking, Playground, Minimart","Cooking Allowed, Near KTM/LRT",Selangor
Taman Asa Jaya,,550,Kajang,Flat,2,,1,480,Fully Furnished,"Parking, Playground, Minimart","Cooking Allowed, Washing Machine",Selangor
Rista Villa Apartment,,550,Puchong,Apartment,3,,2,650,Not Furnished,"Security, Parking",,Selangor
Apartment Harmoni,,550,Damansara Damai,Apartment,3,,2,700,Not Furnished,"Parking, Security, Playground","Cooking Allowed, Near KTM/LRT",Selangor
Apartment Lestari (Damansara Damai),,550,Damansara Damai,Apartment,3,,2,650,Not Furnished,"Security, Lift, Playground, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Selangor
Pangsapuri Orkid,,550,Shah Alam,Apartment,3,2,1,650,Not Furnished,"Playground, Parking",,Selangor
Apartment Kelisa Ria,,550,Kajang,Apartment,3,1,2,650,Not Furnished,"Parking, Security",,Selangor
Taman Bukit Mewah (Kajang),,550,Kajang,Flat,3,,2,667,Not Furnished,,Cooking Allowed,Selangor
Pangsapuri Damai Mewah A,,550,Kajang,Apartment,3,,2,657,Not Furnished,"Barbeque area, Playground, Parking",Cooking Allowed,Selangor
Pelangi Damansara,2003,550,Kota Damansara,Condominium,2,,2,900,Fully Furnished,"Minimart, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Apartment Lily,,550,Rawang,Apartment,3,,1,641,Not Furnished,,,Selangor
Pusat Hentian Kajang,,550,Kajang,Flat,3,,2,800,Partially Furnished,,,Selangor
Taman Suria Jaya (Cheras),2016,550,Cheras,Flat,2,,1,580,Not Furnished,Parking,,Selangor
Rista Villa Apartment,,550,Puchong,Apartment,3,2,1,606,Not Furnished,"Parking, Security",,Selangor
Rumah Pangsa Impian (Saujana Putra),,550,Kuala Langat,Flat,3,,2,650,Not Furnished,"Parking, Security, Playground, Minimart",Cooking Allowed,Selangor
Pangsapuri Damai Mewah A,,550,Kajang,Apartment,3,,1,657,Not Furnished,"Parking, Playground, Barbeque area",Cooking Allowed,Selangor
Taman Bukit Mewah (Kajang),,550,Kajang,Flat,3,,2,667,Not Furnished,,Cooking Allowed,Selangor
Teratai Apartment @ Taman Sutera,,550,Kajang,Apartment,3,1,2,750,Not Furnished,"Playground, Parking, Security",Cooking Allowed,Selangor
,,550,Kajang,Condominium,1,,1,400,Partially Furnished,"Swimming Pool, Gymnasium, Playground","Air-Cond, Washing Machine, Cooking Allowed",Selangor
,,550,Kajang,Condominium,1,,1,400,Partially Furnished,"Swimming Pool, Gymnasium",,Selangor
Vista Perdana (Kajang),,550,Kajang,Apartment,3,,2,754,Not Furnished,,,Selangor
,,550,Bandar Sungai Long,Condominium,3,,2,1052,Fully Furnished,"Multipurpose hall, Parking, Security, Lift, Swimming Pool, Playground, Jogging Track","Air-Cond, Washing Machine, Internet",Selangor
Mahkota Cheras Flat,,550,Cheras,Apartment,3,2,1,650,Not Furnished,,,Selangor
Seri Kasturi (Setia Alam),2015,550,Setia Alam,Apartment,3,2,2,950,Fully Furnished,"Gymnasium, Playground, Swimming Pool, Security, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Pangsapuri Seri Pulai,,550,Puchong,Apartment,3,,2,656,Not Furnished,"Playground, Minimart, Jogging Track","Cooking Allowed, Air-Cond",Selangor
Taman Juara Jaya,,550,Seri Kembangan,Flat,3,,1,720,Partially Furnished,Minimart,,Selangor
9INE,2017,550,360,Condominium,1,1,1,200,Fully Furnished,"Swimming Pool, Security, Barbeque area, Playground, Gymnasium, Jogging Track","Cooking Allowed, Washing Machine, Internet",Selangor
Seri Kembangan Apartment (Bkt Beruntung),,550,Rawang,Flat,3,2,1,650,Not Furnished,,,Selangor
Taman Juara Jaya,,550,Seri Kembangan,Apartment,3,1,1,765,Not Furnished,"Parking, Minimart","Cooking Allowed, Internet",Selangor
Pangsapuri Rakyat (Serendah),,550,Serendah,Flat,3,,1,700,Not Furnished,"Parking, Playground, Minimart",Near KTM/LRT,Selangor
Idaman Apartment,,550,Damansara Damai,Apartment,3,,2,650,Not Furnished,,,Selangor
Taman Sepakat Indah Apartment (P3),,550,Bangi,Apartment,3,4,2,720,Not Furnished,"Playground, Parking, Minimart, Gymnasium",Cooking Allowed,Selangor
Taman Bukit Mewah (Kajang),,550,Kajang,Flat,3,,2,667,Not Furnished,,Cooking Allowed,Selangor
Pangsapuri Damai Mewah A,,550,Kajang,Apartment,3,,1,657,Not Furnished,"Parking, Playground, Barbeque area",Cooking Allowed,Selangor
Las Palmas (Palas) (Rawang),,550,Rawang,Apartment,3,,2,678,Not Furnished,Security,,Selangor
Taman Kajang Utama,,550,Kajang,Apartment,2,,2,630,Not Furnished,,,Selangor
Pangsapuri Damai Mewah A,,550,Kajang,Apartment,3,,1,657,Not Furnished,"Parking, Playground, Barbeque area",Cooking Allowed,Selangor
Taman Bukit Mewah (Kajang),,550,Kajang,Flat,3,,2,667,Not Furnished,,Cooking Allowed,Selangor
Alam Perdana Flat,,550,Puncak Alam,Flat,3,,2,689,Not Furnished,,Cooking Allowed,Selangor
Pangsapuri Raya (Bandar Country Homes),,550,Rawang,Apartment,3,,2,750,Not Furnished,"Security, Parking",,Selangor
Sri Indah Apartment,,550,Seri Kembangan,Apartment,3,1,2,650,Not Furnished,"Barbeque area, Parking, Playground, Minimart",,Selangor
Tembikai Court,,550,Seri Kembangan,Flat,2,,1,613,Not Furnished,"Parking, Playground","Cooking Allowed, Air-Cond",Selangor
Arena Green,2000,580,Bukit Jalil,Condominium,3,,2,200,Partially Furnished,"Minimart, Security, Playground, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sri Indah,,580,Seri Kembangan,Flat,3,,1,700,Not Furnished,"Parking, Minimart, Playground, Multipurpose hall",Near KTM/LRT,Selangor
Rumah Pangsa Impian (Saujana Putra),,580,Kuala Langat,Flat,3,,2,650,Partially Furnished,"Parking, Security",Cooking Allowed,Selangor
Apartment Kelisa Ria,,580,Kajang,Apartment,3,,2,650,Not Furnished,,,Selangor
Apartment Seri Tulip,,580,Rawang,Apartment,3,1,2,808,Not Furnished,"Parking, Security",Cooking Allowed,Selangor
Suria Apartment (Damansara Damai),,599,Damansara Damai,Apartment,3,,1,700,Not Furnished,Parking,,Selangor
Cheria Heights Condo / Apartments,,600,Cheras,Apartment,3,,1,700,Not Furnished,"Security, Playground, Parking, Lift, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Puncak Desa Apartment,,600,Kepong,Apartment,3,,2,650,Not Furnished,"Playground, Security, Lift, Minimart",Cooking Allowed,Kuala Lumpur
Majestic Maxim,2021,600,Cheras,Condominium,3,2,2,850,Fully Furnished,"Barbeque area, Gymnasium, Jogging Track, Lift, Parking, Security, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Flat Desa Cheras,,600,Cheras,Flat,2,,1,650,Not Furnished,,,Kuala Lumpur
Desa Satu,,600,Kepong,Apartment,3,,2,650,Not Furnished,"Playground, Lift, Security",,Kuala Lumpur
Taman Bukit Anggerik,,600,Cheras,Apartment,2,,1,600,Not Furnished,"Jogging Track, Minimart, Parking, Playground",Cooking Allowed,Kuala Lumpur
Strawberry Court Apartment,,600,Cheras,Flat,3,,1,729,Not Furnished,"Security, Parking",Cooking Allowed,Kuala Lumpur
Desa Petaling Flat,,600,Desa Petaling,Flat,2,,1,500,Partially Furnished,Lift,,Kuala Lumpur
Taman Daya,,600,Kepong,Flat,2,,1,560,Not Furnished,"Parking, Minimart, Playground","Cooking Allowed, Air-Cond",Kuala Lumpur
Desa Putra (Wangsa Maju),2007,600,Wangsa Maju,Condominium,4,,2,1246,Fully Furnished,"Security, Playground, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Desa Satu,,600,Kepong,Apartment,3,,2,600,Not Furnished,,,Kuala Lumpur
TR Residence,,600,Titiwangsa,Service Residence,5,,2,1000,Fully Furnished,"Swimming Pool, Gymnasium, Security, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
PV 9 Residence,,600,Setapak,Others,3,,2,1000,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT",Kuala Lumpur
"SkyAwani 3 Residence, Setapak",2021,600,Setapak,Condominium,4,,2,800,Fully Furnished,"Gymnasium, Tennis Court, Sauna, Barbeque area, Security, Squash Court, Jogging Track, Lift, Swimming Pool, Parking, Minimart, Playground","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT",Kuala Lumpur
Vista Wirajaya 2 Residensi,,600,Setapak,Condominium,3,1,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Barbeque area, Multipurpose hall, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Kuchai Jaya Flat,,600,Kuchai Lama,Flat,2,,1,650,Not Furnished,,Cooking Allowed,Kuala Lumpur
Prima Setapak,,600,Setapak,Condominium,1,,1,2564,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Minimart, Squash Court","Washing Machine, Internet",Kuala Lumpur
Canopy hills,,600,Sungai Besi,Condominium,2,1,1,590,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",Cooking Allowed,Kuala Lumpur
Canopy hills,,600,Mid Valley City,Condominium,2,1,1,590,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",Cooking Allowed,Kuala Lumpur
Canopy hills,,600,Sungai Besi,Condominium,2,1,1,590,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",Cooking Allowed,Kuala Lumpur
Cheras Ria,,600,Cheras,Apartment,3,1,1,570,Not Furnished,"Playground, Jogging Track, Minimart",,Kuala Lumpur
Cheras Ria,,600,Cheras,Flat,3,,1,650,Not Furnished,"Minimart, Playground, Jogging Track",,Kuala Lumpur
Flat Taman Bukit Anggerik,,600,Cheras,Flat,2,,1,600,Not Furnished,"Parking, Minimart",Cooking Allowed,Kuala Lumpur
Canopy hills,,600,Serdang,Condominium,2,1,1,591,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",Cooking Allowed,Kuala Lumpur
Canopy hills,,600,Bukit Jalil,Condominium,2,1,1,590,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",Cooking Allowed,Kuala Lumpur
Rampai Idaman,,600,Damansara Damai,Flat,3,2,2,650,Not Furnished,"Playground, Lift, Swimming Pool, Security, Minimart, Gymnasium, Jogging Track, Club house, Multipurpose hall, Parking","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor
,,600,Ampang,Flat,2,,2,550,Partially Furnished,,,Selangor
Vista Apartment,,600,Petaling Jaya,Apartment,3,,2,800,Not Furnished,,,Selangor
Bandar Baru Bangi Seksyen 2,,600,Bangi,Condominium,2,1,1,600,Not Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Canopy Hills,2022,600,Kajang,Condominium,2,1,1,600,Not Furnished,"Swimming Pool, Multipurpose hall, Playground, Lift, Gymnasium, Jogging Track, Security, Parking, Barbeque area, Minimart","Cooking Allowed, Near KTM/LRT",Selangor
Nuri (Selayang),,600,Selayang,Flat,2,,1,592,Partially Furnished,,,Selangor
Canopy Hills,2022,600,Kajang,Condominium,2,1,1,571,Not Furnished,"Jogging Track, Security, Playground, Lift, Multipurpose hall, Swimming Pool, Gymnasium, Parking",,Selangor
Vista Alam Serviced Apartment,2014,600,Shah Alam,Service Residence,1,,1,250,Not Furnished,"Gymnasium, Playground, Jogging Track, Parking, Security, Minimart, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Squash Court",Air-Cond,Selangor
Vista Alam Serviced Apartment,2014,600,Shah Alam,Service Residence,1,,1,200,Not Furnished,"Parking, Minimart, Playground, Jogging Track, Security, Gymnasium, Lift, Swimming Pool, Barbeque area, Squash Court, Tennis Court",Air-Cond,Selangor
Pangsapuri Flora II,,600,Shah Alam,Apartment,3,,2,850,Not Furnished,"Parking, Playground",,Selangor
vista alam,,600,Shah Alam,Service Residence,1,,1,220,Partially Furnished,,Air-Cond,Selangor
Pangsapuri Kuang,,600,Seri Kembangan,Flat,3,,2,650,Not Furnished,Parking,,Selangor
Anggerik Apartment (Seri Kembangan),,600,Seri Kembangan,Apartment,3,,2,657,Not Furnished,"Parking, Playground",,Selangor
equine,,600,Seri Kembangan,Flat,3,,2,650,Not Furnished,,Cooking Allowed,Selangor
Horizon Suites,2022,600,Dengkil,Service Residence,1,1,1,280,Fully Furnished,"Parking, Security, Gymnasium, Sauna, Playground, Squash Court, Minimart, Swimming Pool, Lift, Club house, Multipurpose hall",,Selangor
Sri Dahlia Apartment,2004,600,Puchong,Apartment,3,,2,680,Not Furnished,"Playground, Minimart",Cooking Allowed,Selangor
Bandar Teknologi Kajang Flat,,600,Semenyih,Flat,3,,2,650,Not Furnished,,Cooking Allowed,Selangor
Pangsapuri Angsana (Bukit Puchong 2),,600,Puchong,Apartment,3,,2,650,Partially Furnished,"Security, Parking, Playground",Cooking Allowed,Selangor
Prima Selayang,,600,Batu Caves,Flat,3,,1,850,Not Furnished,"Parking, Lift, Minimart",Cooking Allowed,Selangor
Vista Alam Serviced Apartment,2014,600,Shah Alam,Service Residence,1,,1,200,Fully Furnished,"Gymnasium, Jogging Track, Security, Parking, Minimart, Playground, Lift, Swimming Pool",Air-Cond,Selangor
Pangsapuri BBK Bandar Baru Kundang,,600,Rawang,Apartment,3,1,2,650,Not Furnished,Parking,Near KTM/LRT,Selangor
Taman Cheras Awana Apartment,,600,Cheras,Flat,2,,1,770,Not Furnished,,Cooking Allowed,Selangor
"Room for rent , KJ Room Stay",,600,Gombak,Others,1,,1,390,Fully Furnished,,Air-Cond,Selangor
Seri Damai,,600,Puchong,Apartment,3,,2,650,Not Furnished,Playground,Cooking Allowed,Selangor
Teratai Apartment @ Taman Sutera,,600,Kajang,Apartment,3,1,2,850,Partially Furnished,"Parking, Security, Playground",Cooking Allowed,Selangor
Lestari Perdana Apartment,,600,Seri Kembangan,Apartment,3,,2,900,Partially Furnished,"Minimart, Playground",Cooking Allowed,Selangor
Suria Apartment (Damansara Damai),,600,Damansara Damai,Apartment,2,,1,550,Not Furnished,"Parking, Minimart, Jogging Track, Multipurpose hall","Near KTM/LRT, Cooking Allowed",Selangor
Bandar Tasik Puteri,,600,Rawang,Apartment,3,,1,239,Not Furnished,Minimart,Cooking Allowed,Selangor
Pangsapuri Kayangan (Kajang Utama),,600,Kajang,Apartment,3,,1,713,Not Furnished,,Cooking Allowed,Selangor
Taman Sentosa,,600,Klang,Apartment,3,,2,750,Not Furnished,,,Selangor
Rumah Pangsa Impian (Saujana Putra),,600,Kuala Langat,Flat,3,,2,650,Not Furnished,"Parking, Security, Playground, Minimart",Cooking Allowed,Selangor
